name,year,Price,kms_driven,fuel_type,company
Tata Indigo CS,2011,85000,11400,Diesel,Tata
Toyota Corolla Altis,2015,575000,42000,Petrol,Toyota
Honda City 1.5,2014,549000,39000,Petrol,Honda
Maruti Suzuki Swift,2011,209000,47000,Diesel,Maruti
Hyundai Eon Era,2013,185000,27000,Petrol,Hyundai
Mahindra Scorpio S10,2015,900000,97200,Diesel,Mahindra
Mahindra XUV500,2014,699999,52000,Diesel,Mahindra
Honda Brio,2012,224999,30000,Petrol,Honda
Ford Fiesta,2011,274999,55000,Diesel,Ford
Honda Amaze,2013,284999,46000,Diesel,Honda
Honda City,2015,599999,30000,Diesel,Honda
Maruti Suzuki Wagon,2012,199999,44000,Petrol,Maruti
Honda City,2014,544999,45000,Diesel,Honda
Hyundai i20,2009,199000,31000,Petrol,Hyundai
Tata Indigo eCS,2016,320000,175430,Diesel,Tata
Hyundai Fluidic Verna,2015,540000,38000,Diesel,Hyundai
Mahindra Quanto C8,2013,340000,37000,Diesel,Mahindra
Fiat Petra ELX,2008,75000,65000,Petrol,Fiat
Skoda Fabia 1.2L,2011,159500,38200,Diesel,Skoda
Mini Cooper S,2013,1891111,13000,Petrol,Mini
Hyundai Santro Xing,2005,49000,7500,Petrol,Hyundai
Maruti Suzuki Ciaz,2016,700000,3350,Petrol,Maruti
Maruti Suzuki Zen,2000,55000,60000,Petrol,Maruti
Honda City,2015,448999,54000,Petrol,Honda
Hyundai Creta 1.6,2017,895000,32000,Petrol,Hyundai
Mahindra Scorpio SLX,2007,355000,75000,Diesel,Mahindra
Mahindra Scorpio SLE,2012,565000,62000,Diesel,Mahindra
Toyota Innova 2.5,2006,365000,73000,Diesel,Toyota
Maruti Suzuki Alto,2011,145000,41000,Petrol,Maruti
Maruti Suzuki Wagon,2011,210000,35000,Petrol,Maruti
Tata Nano Cx,2013,40000,2200,Petrol,Tata
Maruti Suzuki Alto,2013,125000,39000,Petrol,Maruti
Maruti Suzuki Wagon,2009,135000,45000,Petrol,Maruti
Maruti Suzuki Swift,2006,135000,45000,Petrol,Maruti
Tata Sumo Victa,2012,285000,65000,Diesel,Tata
Maruti Suzuki Wagon,2010,145000,54870,Petrol,Maruti
Maruti Suzuki Alto,2010,135000,34580,Petrol,Maruti
Volkswagen Passat Diesel,2009,450000,97000,Diesel,Volkswagen
Renault Scala RxL,2015,375000,25000,Diesel,Renault
Mahindra Quanto C8,2013,375000,20000,Diesel,Mahindra
Hyundai Grand i10,2014,365000,20000,Petrol,Hyundai
Hyundai i20 Active,2015,500000,18000,Petrol,Hyundai
Mahindra Xylo E4,2012,400000,35000,Diesel,Mahindra
Mahindra Jeep MM,2019,390000,60,Diesel,Mahindra
Renault Duster 110PS,2012,501000,35000,Diesel,Renault
Mahindra Bolero SLE,2013,330000,80200,Diesel,Mahindra
Force Motors Force,2015,580000,3200,Diesel,Force
Maruti Suzuki SX4,2012,265000,46000,Diesel,Maruti
Mahindra Jeep CL550,2019,379000,0,Diesel,Mahindra
Maruti Suzuki Alto,2015,219000,5000,Petrol,Maruti
Mahindra Jeep CL550,2018,385000,588,Diesel,Mahindra
Toyota Etios,2011,275000,36000,Diesel,Toyota
Volkswagen Polo,2015,330000,38000,Diesel,Volkswagen
Honda City ZX,2008,110000,45000,Petrol,Honda
Maruti Suzuki Wagon,2006,80000,71200,Petrol,Maruti
Honda City VX,2016,519000,52000,Diesel,Honda
Mahindra Thar CRDe,2016,730000,29000,Diesel,Mahindra
Mitsubishi Pajero Sport,2015,1475000,47000,Diesel,Mitsubishi
Audi A4 1.8,2009,699000,47000,Petrol,Audi
Mercedes Benz GLA,2015,2000000,20000,Diesel,Mercedes
Land Rover Freelander,2015,2100000,30000,Diesel,Land
Renault Kwid RXT,2017,340000,5000,Petrol,Renault
Tata Aria Pleasure,2014,390000,35000,Diesel,Tata
Mercedes Benz B,2014,1400000,31000,Petrol,Mercedes
Datsun GO T,2016,245000,7000,Petrol,Datsun
Tata Indigo eCS,2016,320000,175430,Diesel,Tata
Tata Indigo eCS,2016,320000,175400,Diesel,Tata
Honda Jazz VX,2016,450000,41000,Petrol,Honda
Honda Amaze 1.2,2014,311000,33000,Petrol,Honda
Honda Amaze,2013,284999,46000,Diesel,Honda
Honda City,2012,399999,45000,Petrol,Honda
Honda City,2015,599999,39000,Diesel,Honda
Honda Amaze,2015,344999,22000,Petrol,Honda
Audi A4 1.8,2009,699000,47000,Petrol,Audi
Force Motors Force,2015,580000,3200,Diesel,Force
Mahindra Scorpio S4,2015,855000,30000,Diesel,Mahindra
Hyundai i20 Active,2015,535000,37000,Diesel,Hyundai
Mini Cooper S,2013,1891111,13000,Petrol,Mini
Maruti Suzuki Ciaz,2017,699000,14000,Petrol,Maruti
Chevrolet Tavera Neo,2013,375000,55000,Diesel,Chevrolet
Honda Amaze,2013,284999,46000,Diesel,Honda
Hyundai Eon Sportz,2012,178000,30000,Petrol,Hyundai
Tata Sumo Gold,2013,300000,50000,Diesel,Tata
Maruti Suzuki Wagon,2003,90000,45000,Petrol,Maruti
Maruti Suzuki Esteem,2006,95000,45000,Petrol,Maruti
Maruti Suzuki Eeco,2015,255000,9300,Petrol,Maruti
Chevrolet Enjoy 1.4,2013,245000,55000,Diesel,Chevrolet
Hyundai i20 Asta,2012,329500,36200,Diesel,Hyundai
Ford Figo Diesel,2014,195000,50000,Diesel,Ford
Maruti Suzuki Eeco,2015,251111,55000,Petrol,Maruti
Maruti Suzuki Ertiga,2014,569999,45000,Petrol,Maruti
Maruti Suzuki Esteem,2007,69999,51000,Petrol,Maruti
Maruti Suzuki Ritz,2014,299999,19000,Petrol,Maruti
Maruti Suzuki Dzire,2009,220000,46000,Petrol,Maruti
Maruti Suzuki Ritz,2013,399999,33000,Diesel,Maruti
Maruti Suzuki SX4,2010,249999,36000,Petrol,Maruti
Maruti Suzuki Wagon,2015,289999,22000,Petrol,Maruti
Mini Cooper S,2013,1891111,13500,Petrol,Mini
Nissan Terrano XL,2015,499999,60000,Diesel,Nissan
Renault Duster 85,2013,489999,27000,Diesel,Renault
Renault Duster 85,2014,489999,59000,Diesel,Renault
Renault Duster 85,2015,549999,19000,Diesel,Renault
Maruti Suzuki Dzire,2013,380000,30000,Petrol,Maruti
